series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;REF_AREA;ADJUSTMENT;DIREN_OBJET;DIREN_THECO;DIREN_MESURE;DIREN_NATURE;DIREN_SECTACT;DIREN_TAILLENT;UNIT;DECIMALS;UNIT_MULT;COLLECTION;TIME_FORMAT;SOURCE_AGENCY;OBS_CONF;OBS_STATUS
DIREN.A.FR.BI.LME.CP.07.N.G.TT;2021;2021-01-01;2021-12-31;7,0;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Charges de personnel, Commerce et réparation automobile, Toutes tailles, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Charges de personnel, Commerce et réparation automobile, Toutes tailles, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;CP;BI;07;LME;G;TT;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.CP.07.N.H.TT;2021;2021-01-01;2021-12-31;6,9;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Charges de personnel, Transports et entreposage, Toutes tailles, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Charges de personnel, Transports et entreposage, Toutes tailles, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;CP;BI;07;LME;H;TT;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.CP.07.N.JZ.TT;2021;2021-01-01;2021-12-31;8,6;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Charges de personnel, Information et communication, Toutes tailles, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Charges de personnel, Information et communication, Toutes tailles, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;CP;BI;07;LME;JZ;TT;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.CP.07.N.ZZ.EI;2021;2021-01-01;2021-12-31;7,3;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Charges de personnel, Tous secteurs, Entreprises de taille Intermédiaire, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Charges de personnel, Tous secteurs, Entreprises de taille Intermédiaire, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;CP;BI;07;LME;ZZ;EI;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.LZ.TT;2021;2021-01-01;2021-12-31;1,5;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Activités immobilières, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Activités immobilières, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;LZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.AE.05.N.ZZ.GE;2021;2021-01-01;2021-12-31;1,8;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Grandes entreprises, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part du crédit-bail dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Grandes entreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;AE;BI;05;LME;ZZ;GE;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BE.05.N.G.TT;2021;2021-01-01;2021-12-31;60,2;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Commerce et réparation automobile, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes bancaires dans le total des dettes bancaires, obligataires et de crédit-bail, Commerce et réparation automobile, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BE;BI;05;LME;G;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BF.05.N.AZ.TT;2021;2021-01-01;2021-12-31;122,2;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Besoins en fonds de roulement, Agriculture, sylviculture et pêche, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Besoins en fonds de roulement, Agriculture, sylviculture et pêche, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BF;BI;05;LME;AZ;TT;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BF.05.N.LZ.TT;2021;2021-01-01;2021-12-31;54,2;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Besoins en fonds de roulement, Activités immobilières, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Besoins en fonds de roulement, Activités immobilières, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BF;BI;05;LME;LZ;TT;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.BF.05.N.MN.TT;2021;2021-01-01;2021-12-31;6,2;2025-11-14T13:00:06+00:00;DIREN;Bilans d'Entreprises, Besoins en fonds de roulement, Soutien aux entreprises, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Besoins en fonds de roulement, Soutien aux entreprises, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BF;BI;05;LME;MN;TT;JRCA;1;0;E;P1Y;FR2;F;A
